vm_id,decision_timestamp,current_cpu,predicted_cpu_t5m,predicted_cpu_t10m,predicted_cpu_t15m,predicted_cpu_t30m,predicted_cpu_t45m,predicted_cpu_t60m,predicted_mean_cpu,predicted_peak_cpu,predicted_std_cpu,volatility_score,risk_score,risk_state
VM_003,1378725000,3.2667,3.0626,3.077,3.0245,2.9989,2.9952,2.9624,3.0307,3.1517,0.0557,0.133,0.0416,MEDIUM
VM_003,1378725300,4.5667,3.1166,3.1401,3.0938,3.1257,3.1442,3.0878,3.1372,3.2891,0.0552,0.3267,0.0678,MEDIUM
VM_003,1378725600,3.0,3.0019,3.0396,2.9947,3.0401,3.0513,2.9648,3.0404,3.1724,0.0528,0.3267,0.0665,MEDIUM
VM_003,1378725900,3.2,3.1267,3.1176,3.0776,3.0594,3.063,2.9908,3.0825,3.1936,0.0537,0.3249,0.0657,MEDIUM
VM_003,1378726200,3.0,2.9843,3.0133,2.9797,3.0278,3.0773,3.0333,3.0455,3.2273,0.0684,0.3249,0.071,MEDIUM
VM_003,1378726500,2.9667,3.023,3.0007,2.9381,3.0985,3.077,2.943,3.0515,3.1692,0.0688,0.3256,0.0691,MEDIUM
VM_003,1378726800,3.3,3.045,3.003,2.9467,3.0136,3.0035,2.9169,3.0095,3.1168,0.0494,0.3249,0.0653,MEDIUM
VM_003,1378727100,3.0,2.9707,2.9957,2.9631,3.0775,3.0719,3.0342,3.0519,3.2169,0.0684,0.3255,0.0718,MEDIUM
VM_003,1378727400,3.0,2.9643,2.9675,2.9205,3.0625,3.0268,2.9221,3.0133,3.1278,0.0626,0.3261,0.0664,MEDIUM
VM_003,1378727700,3.2333,3.0526,3.0813,3.0396,3.0403,3.042,3.0284,3.0676,3.2069,0.0541,0.3264,0.0679,MEDIUM
VM_003,1378728000,3.0,2.9611,3.0154,2.9723,3.0193,3.0259,2.9928,3.0235,3.1775,0.0587,0.3264,0.0692,MEDIUM
VM_003,1378728300,3.0,2.9742,3.0205,2.9616,3.0198,3.0266,2.9596,3.0255,3.1654,0.0569,0.3264,0.0662,MEDIUM
VM_003,1378728600,3.2667,3.048,3.0805,3.0314,2.969,2.9788,2.9826,3.0251,3.1711,0.0646,0.3251,0.0711,MEDIUM
VM_003,1378728900,3.0667,3.0034,3.0164,2.9548,2.9821,3.0628,3.058,3.0368,3.2511,0.0806,0.3254,0.0772,MEDIUM
VM_003,1378729200,3.0,2.9616,2.9727,2.9024,2.9906,3.0121,2.9283,2.9915,3.1449,0.0635,0.3264,0.0706,MEDIUM
VM_003,1378729500,3.2667,3.0451,3.0284,2.9604,2.9547,2.9878,2.9494,3.0012,3.1488,0.0578,0.3273,0.068,MEDIUM
VM_003,1378729800,3.0,2.9534,2.9479,2.8631,2.9353,2.9808,2.954,2.9594,3.1628,0.0771,0.3273,0.0774,MEDIUM
VM_003,1378730100,3.0,2.9891,3.0095,2.9593,3.0395,3.0327,2.9394,3.0237,3.1521,0.0546,0.3273,0.0672,MEDIUM
VM_003,1378730400,3.2667,3.0498,3.0644,3.0033,2.9796,3.0014,2.9916,3.0237,3.1821,0.0596,0.3267,0.0714,MEDIUM
VM_003,1378730700,3.0,3.0427,3.0114,2.9349,3.0315,3.0598,2.9693,3.0291,3.1724,0.0621,0.3273,0.0701,MEDIUM
VM_003,1378731000,3.0333,3.0056,3.0284,2.9732,3.0297,3.0528,2.9864,3.0377,3.1838,0.0565,0.3251,0.0666,MEDIUM
VM_003,1378731300,3.6333,3.1127,3.1056,3.032,2.9788,2.9951,2.9556,3.0317,3.1639,0.0649,0.3389,0.0699,MEDIUM
VM_003,1378731600,3.3333,3.0409,3.055,2.9966,2.9867,3.0425,3.0306,3.0394,3.2369,0.0705,0.3385,0.0774,MEDIUM
VM_003,1378731900,3.2,3.0268,3.0647,2.997,3.0336,3.0493,2.9668,3.042,3.187,0.0573,0.3363,0.0692,MEDIUM
VM_003,1378732200,3.5667,3.1099,3.1093,3.0405,3.0029,3.0283,2.9742,3.0489,3.1942,0.0636,0.3446,0.0708,MEDIUM
VM_003,1378732500,3.3333,3.0548,3.128,3.0925,3.0645,3.1161,3.0713,3.1063,3.2979,0.0689,0.1898,0.0566,MEDIUM
VM_003,1378732800,3.4333,3.1238,3.1069,3.0246,3.0991,3.1441,3.0148,3.1068,3.2596,0.0706,0.1952,0.0542,MEDIUM
VM_003,1378733100,3.6333,3.2533,3.1594,3.0655,3.1499,3.1524,3.0085,3.1416,3.2533,0.0727,0.2168,0.0568,MEDIUM
VM_003,1378733400,3.3333,3.1378,3.1361,3.0797,3.1439,3.1861,3.092,3.1536,3.3294,0.0717,0.2149,0.0598,MEDIUM
VM_003,1378733700,3.3667,3.1231,3.1281,3.0629,3.1611,3.1364,3.0072,3.1312,3.2554,0.0633,0.2113,0.0565,MEDIUM
VM_003,1378734000,3.6667,3.2488,3.2414,3.1863,3.1433,3.165,3.1007,3.1869,3.3379,0.0655,0.2298,0.0575,MEDIUM
VM_003,1378734300,3.4667,3.2257,3.2321,3.1702,3.225,3.2273,3.1051,3.215,3.3446,0.0594,0.2288,0.0577,MEDIUM
VM_003,1378734600,3.3333,3.2734,3.2924,3.22,3.2019,3.2372,3.2053,3.2477,3.4556,0.0814,0.2227,0.0669,MEDIUM
VM_003,1378734900,3.6,3.3512,3.3682,3.3123,3.2111,3.2491,3.2324,3.2879,3.4716,0.0821,0.2326,0.0658,MEDIUM
VM_003,1378735200,3.2333,3.299,3.3335,3.2897,3.255,3.3099,3.2731,3.3112,3.5234,0.0776,0.225,0.0651,MEDIUM
VM_003,1378735500,3.3667,3.3066,3.313,3.2162,3.2677,3.2884,3.1529,3.2776,3.4284,0.0722,0.2165,0.0604,MEDIUM
VM_003,1378735800,3.6667,3.3878,3.374,3.3249,3.2877,3.3039,3.2193,3.3273,3.4775,0.0664,0.2283,0.0598,MEDIUM
VM_003,1378736100,3.3,3.2681,3.3016,3.2363,3.2307,3.333,3.286,3.298,3.5378,0.0922,0.2216,0.0702,MEDIUM
VM_003,1378736400,3.2,3.3091,3.3563,3.2986,3.2861,3.3835,3.332,3.3529,3.5867,0.0893,0.2121,0.0662,MEDIUM
VM_003,1378736700,3.5667,3.4163,3.3769,3.2873,3.3024,3.3675,3.2456,3.3469,3.5093,0.0765,0.2162,0.0589,MEDIUM
VM_003,1378737000,3.7333,3.3678,3.3994,3.3276,3.2922,3.4315,3.3518,3.3805,3.6105,0.0931,0.2156,0.0678,MEDIUM
VM_003,1378737300,3.4,3.3467,3.3928,3.3152,3.3265,3.3932,3.2626,3.3642,3.5381,0.0759,0.1993,0.0582,MEDIUM
VM_003,1378737600,3.5667,3.4423,3.4001,3.3089,3.3103,3.3973,3.2576,3.3703,3.5357,0.0823,0.1998,0.0585,MEDIUM
VM_003,1378737900,3.1333,3.3284,3.3317,3.2445,3.2853,3.3684,3.2476,3.3247,3.5059,0.0814,0.1893,0.0567,MEDIUM
VM_003,1378738200,3.2,3.3121,3.3276,3.2489,3.2982,3.3421,3.2166,3.321,3.4837,0.0727,0.1771,0.0543,MEDIUM
VM_003,1378738500,3.5,3.3378,3.3293,3.2443,3.1992,3.2437,3.1627,3.2646,3.4093,0.0691,0.1724,0.0513,MEDIUM
VM_003,1378738800,3.3333,3.2998,3.3192,3.2482,3.2776,3.3387,3.2477,3.3157,3.4778,0.0687,0.1724,0.0493,MEDIUM
VM_003,1378739100,3.3,3.2559,3.2875,3.2016,3.2384,3.2611,3.15,3.2563,3.3905,0.0622,0.168,0.05,MEDIUM
VM_003,1378739400,3.6667,3.3689,3.399,3.3316,3.2367,3.3252,3.2958,3.3377,3.5175,0.0751,0.1728,0.0554,MEDIUM
VM_003,1378739700,3.3667,3.2563,3.2956,3.2153,3.2066,3.3364,3.3011,3.2925,3.5214,0.0985,0.1721,0.0625,MEDIUM
VM_003,1378740000,3.4667,3.3196,3.4052,3.324,3.2393,3.3608,3.3726,3.3493,3.6025,0.1027,0.1722,0.067,MEDIUM
VM_003,1378740300,3.7,3.378,3.3585,3.22,3.2054,3.2982,3.245,3.2894,3.4895,0.0971,0.1761,0.0598,MEDIUM
VM_003,1378740600,3.5,3.3838,3.3682,3.228,3.2778,3.4082,3.3851,3.3607,3.6345,0.1275,0.1751,0.0744,MEDIUM
VM_003,1378740900,3.4667,3.2841,3.2856,3.1248,3.2907,3.2973,3.2083,3.2717,3.4546,0.0961,0.1744,0.0614,MEDIUM
VM_003,1378741200,3.8333,3.381,3.4052,3.3017,3.3818,3.3645,3.3318,3.3853,3.5935,0.0859,0.1865,0.0601,MEDIUM
VM_003,1378741500,3.5,3.26,3.3219,3.1965,3.3368,3.3178,3.3004,3.3149,3.5331,0.0991,0.1867,0.0638,MEDIUM
VM_003,1378741800,3.5,3.3432,3.4357,3.3355,3.5526,3.4424,3.3543,3.4511,3.6069,0.0918,0.185,0.0558,MEDIUM
VM_003,1378742100,3.6667,3.3715,3.4408,3.3436,3.4323,3.3679,3.3762,3.4104,3.6006,0.0818,0.1877,0.0569,MEDIUM
VM_003,1378742400,3.4333,3.3538,3.4926,3.4281,3.4756,3.4258,3.4735,3.47,3.7063,0.0985,0.1812,0.0667,MEDIUM
VM_003,1378742700,3.5,3.3285,3.4645,3.3543,3.434,3.3748,3.3805,3.4139,3.6315,0.0949,0.1799,0.0638,MEDIUM
VM_003,1378743000,4.2,3.5639,3.6636,3.5658,3.4996,3.4541,3.5467,3.5453,3.7911,0.1154,0.23,0.0816,MEDIUM
VM_003,1378743300,3.6,3.4188,3.4934,3.3735,3.4203,3.4419,3.5002,3.4537,3.744,0.1244,0.2267,0.0825,MEDIUM
VM_003,1378743600,3.4333,3.4725,3.564,3.4459,3.5369,3.5358,3.5394,3.5433,3.8052,0.1152,0.2175,0.0739,MEDIUM
VM_003,1378743900,3.8667,3.5152,3.5327,3.3891,3.503,3.4691,3.4251,3.4908,3.6934,0.0983,0.2284,0.0653,MEDIUM
VM_003,1378744200,3.5,3.4518,3.5468,3.4704,3.537,3.543,3.5887,3.5597,3.8546,0.1214,0.2246,0.0772,MEDIUM
VM_003,1378744500,3.5,3.4412,3.5458,3.4478,3.5714,3.4938,3.4814,3.5299,3.741,0.0939,0.223,0.0641,MEDIUM
VM_003,1378744800,3.7,3.5432,3.6147,3.5236,3.6395,3.5515,3.5386,3.5981,3.7871,0.0838,0.2256,0.0604,MEDIUM
VM_003,1378745100,3.5,3.4668,3.5817,3.4798,3.5454,3.5102,3.5531,3.5468,3.7923,0.1031,0.209,0.0714,MEDIUM
VM_003,1378745400,3.4333,3.4503,3.5869,3.4945,3.5738,3.5284,3.5163,3.5608,3.778,0.0932,0.197,0.064,MEDIUM
VM_003,1378745700,3.8,3.525,3.5968,3.4897,3.4785,3.462,3.4811,3.5191,3.7396,0.097,0.2024,0.0681,MEDIUM
VM_003,1378746000,3.5,3.5673,3.7262,3.6492,3.4866,3.5366,3.7225,3.6135,3.9558,0.152,0.1966,0.0944,MEDIUM
VM_003,1378746300,3.5,3.5405,3.6308,3.4791,3.4842,3.5223,3.553,3.5467,3.8223,0.1189,0.1882,0.0757,MEDIUM
VM_003,1378746600,3.6333,3.6751,3.7065,3.5615,3.5171,3.576,3.588,3.6113,3.872,0.1212,0.1877,0.0728,MEDIUM
VM_003,1378746900,3.5333,3.5577,3.6356,3.4993,3.4723,3.5713,3.6239,3.5736,3.8906,0.1347,0.1822,0.0803,MEDIUM
VM_003,1378747200,3.5,3.5091,3.5641,3.429,3.4937,3.5436,3.47,3.5352,3.7803,0.1087,0.1813,0.0663,MEDIUM
VM_003,1378747500,3.8,3.5438,3.5505,3.3968,3.4997,3.5066,3.3829,3.5073,3.6819,0.0935,0.1849,0.0591,MEDIUM
VM_003,1378747800,3.4333,3.4903,3.55,3.4184,3.5778,3.5702,3.4707,3.5506,3.7383,0.0985,0.187,0.0618,MEDIUM
VM_003,1378748100,3.5,3.4037,3.4843,3.3507,3.5263,3.4915,3.3677,3.4793,3.639,0.0953,0.1861,0.058,MEDIUM
VM_003,1378748400,3.7667,3.5068,3.5764,3.4628,3.4943,3.4619,3.4226,3.504,3.6553,0.0715,0.1829,0.0517,MEDIUM
VM_003,1378748700,3.5,3.486,3.5741,3.4419,3.4598,3.483,3.527,3.5035,3.7415,0.1032,0.1829,0.0686,MEDIUM
VM_003,1378749000,3.5,3.5296,3.6614,3.5229,3.4805,3.5109,3.5865,3.5519,3.813,0.118,0.1829,0.0756,MEDIUM
VM_003,1378749300,3.6667,3.5706,3.5999,3.4305,3.4335,3.4765,3.4721,3.5012,3.7099,0.1067,0.1829,0.0631,MEDIUM
VM_003,1378749600,3.8,3.6016,3.6577,3.4984,3.4992,3.6077,3.6365,3.5965,3.8968,0.1384,0.1841,0.0759,MEDIUM
VM_003,1378749900,3.5,3.4538,3.5126,3.3539,3.429,3.5249,3.4904,3.4874,3.7553,0.1284,0.1841,0.0751,MEDIUM
VM_003,1378750200,3.7333,3.5753,3.5827,3.4343,3.4876,3.5552,3.5051,3.5458,3.7854,0.1163,0.1381,0.0641,MEDIUM
VM_003,1378750500,3.5333,3.5009,3.5119,3.3543,3.4601,3.5574,3.5338,3.5057,3.7631,0.1313,0.1385,0.0712,MEDIUM
VM_003,1378750800,3.4333,3.5096,3.5676,3.4358,3.6209,3.6492,3.5035,3.59,3.7743,0.1159,0.1385,0.0602,MEDIUM
VM_003,1378751100,3.6667,3.572,3.599,3.4707,3.5063,3.5583,3.4673,3.5453,3.7228,0.0884,0.1266,0.0512,MEDIUM
VM_003,1378751400,3.4667,3.5376,3.5897,3.4552,3.5513,3.6067,3.5017,3.5657,3.7489,0.0957,0.1277,0.0541,MEDIUM
VM_003,1378751700,3.4333,3.5224,3.5752,3.4283,3.5758,3.6155,3.4504,3.5645,3.7453,0.1048,0.1302,0.0556,MEDIUM
VM_003,1378752000,3.8,3.6527,3.6789,3.5267,3.5015,3.5626,3.5174,3.5763,3.771,0.098,0.1358,0.0521,MEDIUM
VM_003,1378752300,3.3,3.5595,3.5758,3.4217,3.497,3.5578,3.4766,3.5345,3.7369,0.1038,0.1467,0.0597,MEDIUM
VM_003,1378752600,3.4667,3.5905,3.6277,3.4634,3.5412,3.583,3.4551,3.5662,3.7424,0.096,0.1455,0.053,MEDIUM
VM_003,1378752900,4.7667,4.2564,3.8871,3.6101,3.3529,3.3423,3.107,3.4966,4.2564,0.2897,0.2813,0.172,MEDIUM
VM_003,1378753200,3.4667,3.6952,3.6892,3.6421,3.5045,3.5119,3.6706,3.6053,3.8437,0.1126,0.282,0.0837,MEDIUM
VM_003,1378753500,3.4,3.4666,3.4589,3.2718,3.321,3.3826,3.191,3.3582,3.4749,0.0852,0.2844,0.0701,MEDIUM
VM_003,1378753800,3.6333,3.6659,3.627,3.462,3.5629,3.6631,3.4599,3.6087,3.8477,0.12,0.2844,0.0824,MEDIUM
VM_003,1378754100,3.4667,3.5379,3.5398,3.3144,3.4144,3.6291,3.4637,3.5055,3.7333,0.142,0.2855,0.0886,MEDIUM
VM_003,1378754400,3.5,3.5497,3.5369,3.3745,3.5264,3.6003,3.3865,3.5387,3.7109,0.1159,0.2855,0.0764,MEDIUM
VM_003,1378754700,3.6333,3.5833,3.4743,3.2364,3.4038,3.4537,3.2934,3.4243,3.5909,0.1212,0.2826,0.0782,MEDIUM
VM_003,1378755000,3.4667,3.6361,3.5874,3.424,3.5195,3.5692,3.4602,3.5445,3.6889,0.0926,0.2818,0.0714,MEDIUM
VM_003,1378755300,3.3667,3.5121,3.5318,3.3627,3.4927,3.5772,3.447,3.5162,3.7034,0.1036,0.2852,0.0774,MEDIUM
VM_003,1378755600,3.7333,3.6473,3.6123,3.4617,3.4969,3.5365,3.4059,3.5409,3.6627,0.082,0.2844,0.0669,MEDIUM
VM_003,1378755900,3.4,3.4941,3.4786,3.3223,3.4618,3.5304,3.3643,3.4711,3.6453,0.1041,0.2865,0.0769,MEDIUM
VM_003,1378756200,3.4,3.521,3.5273,3.3626,3.4662,3.5275,3.3849,3.4954,3.6609,0.0981,0.2886,0.0732,MEDIUM
VM_003,1378756500,3.9667,3.6371,3.5826,3.4657,3.5216,3.5077,3.3371,3.5268,3.6371,0.0824,0.2986,0.0738,MEDIUM
VM_003,1378756800,3.4,3.5558,3.5131,3.3663,3.4437,3.5546,3.4965,3.5012,3.7015,0.1127,0.298,0.0839,MEDIUM
VM_003,1378757100,3.5,3.5196,3.4516,3.2781,3.4629,3.5071,3.2964,3.4458,3.6206,0.1127,0.298,0.0804,MEDIUM
VM_003,1378757400,3.7333,3.519,3.4172,3.2482,3.3711,3.4811,3.3269,3.4125,3.6061,0.114,0.298,0.0821,MEDIUM
VM_003,1378757700,3.4667,3.4499,3.3551,3.1897,3.3102,3.4744,3.3512,3.3778,3.5803,0.1332,0.2987,0.0889,MEDIUM
VM_003,1378758000,3.3667,3.4282,3.4047,3.2884,3.4312,3.4934,3.3337,3.4314,3.5804,0.1009,0.3004,0.0761,MEDIUM
VM_003,1378758300,3.7667,3.5146,3.4302,3.2819,3.382,3.4262,3.2796,3.4002,3.5502,0.0939,0.3025,0.0735,MEDIUM
VM_003,1378758600,3.4333,3.5003,3.478,3.3616,3.4447,3.5016,3.3913,3.467,3.6223,0.0846,0.3031,0.0727,MEDIUM
VM_003,1378758900,3.4333,3.3542,3.3339,3.1786,3.348,3.4411,3.2985,3.3617,3.565,0.1168,0.3031,0.0846,MEDIUM
VM_003,1378759200,3.6667,3.4633,3.3851,3.2581,3.3246,3.3993,3.2708,3.372,3.5252,0.0894,0.3,0.0714,MEDIUM
VM_003,1378759500,3.4,3.3912,3.3488,3.2181,3.2785,3.399,3.3632,3.3467,3.5388,0.1079,0.2968,0.08,MEDIUM
VM_003,1378759800,3.5,3.4109,3.3589,3.2229,3.3633,3.4202,3.2515,3.3668,3.5316,0.0981,0.2963,0.0758,MEDIUM
VM_003,1378760100,3.7,3.4077,3.3418,3.2153,3.2972,3.3788,3.2911,3.3376,3.5054,0.0905,0.1579,0.0559,MEDIUM
VM_003,1378760400,3.4333,3.4072,3.3483,3.2316,3.309,3.4408,3.3739,3.3703,3.5572,0.1088,0.1586,0.0631,MEDIUM
VM_003,1378760700,3.4667,3.3734,3.3161,3.1897,3.3139,3.3862,3.2361,3.3292,3.5031,0.0952,0.1568,0.0579,MEDIUM
VM_003,1378761000,3.7,3.5145,3.4662,3.3752,3.3043,3.4085,3.4223,3.4107,3.5967,0.0958,0.1592,0.055,MEDIUM
VM_003,1378761300,3.4,3.4452,3.3704,3.2518,3.3244,3.4359,3.3461,3.3788,3.546,0.1018,0.1611,0.0609,MEDIUM
VM_003,1378761600,3.3333,3.4392,3.3984,3.281,3.4266,3.4997,3.3416,3.435,3.6407,0.1032,0.1661,0.0639,MEDIUM
VM_003,1378761900,3.6667,3.4519,3.3916,3.2927,3.3328,3.3972,3.2601,3.3713,3.5041,0.0757,0.1672,0.0503,MEDIUM
VM_003,1378762200,3.3,3.4234,3.4101,3.3432,3.406,3.4752,3.3917,3.4423,3.626,0.0881,0.1733,0.0591,MEDIUM
VM_003,1378762500,3.4,3.4021,3.3898,3.2791,3.4319,3.4675,3.2923,3.4176,3.5898,0.0924,0.1721,0.0588,MEDIUM
VM_003,1378762800,3.6667,3.4845,3.4508,3.3821,3.4488,3.4422,3.2718,3.4391,3.5534,0.0677,0.1691,0.055,MEDIUM
VM_003,1378763100,3.3,3.3051,3.2753,3.2064,3.3027,3.3736,3.2614,3.3215,3.487,0.0877,0.1733,0.0573,MEDIUM
VM_003,1378763400,3.2333,3.3292,3.3558,3.3088,3.349,3.3832,3.2502,3.3694,3.4952,0.0658,0.1814,0.0523,MEDIUM
VM_003,1378763700,3.4667,3.4036,3.3627,3.3359,3.2979,3.3154,3.2366,3.338,3.4444,0.0619,0.1531,0.0442,MEDIUM
VM_003,1378764000,3.3667,3.4258,3.4836,3.4959,3.3172,3.4045,3.5512,3.4431,3.6972,0.1133,0.1541,0.0689,MEDIUM
VM_003,1378764300,3.3667,3.3528,3.3517,3.2948,3.3213,3.4141,3.357,3.3746,3.571,0.0899,0.156,0.0556,MEDIUM
VM_003,1378764600,3.7667,3.5092,3.4155,3.3268,3.3654,3.5066,3.3317,3.4407,3.6603,0.1034,0.1585,0.0598,MEDIUM
VM_003,1378764900,3.4667,3.2375,3.2561,3.2231,3.2753,3.3949,3.2424,3.32,3.5111,0.0972,0.1585,0.0553,MEDIUM
VM_003,1378765200,3.4,3.3018,3.3071,3.2971,3.3858,3.4842,3.2816,3.4139,3.5914,0.1107,0.1576,0.0569,MEDIUM
VM_003,1378765500,3.6667,3.3695,3.2944,3.2376,3.3047,3.3715,3.1901,3.3266,3.4889,0.085,0.151,0.0547,MEDIUM
VM_003,1378765800,3.5,3.3616,3.3536,3.349,3.515,3.5089,3.3176,3.4499,3.6013,0.0942,0.1507,0.0529,MEDIUM
VM_003,1378766100,3.3667,3.3127,3.3564,3.3645,3.3909,3.4179,3.3116,3.3962,3.5475,0.0708,0.1523,0.0474,MEDIUM
VM_003,1378766400,3.5667,3.3827,3.407,3.4379,3.3983,3.3807,3.2291,3.4087,3.4783,0.0656,0.1483,0.0485,MEDIUM
VM_003,1378766700,3.3333,3.3015,3.3218,3.3351,3.3994,3.4418,3.279,3.3952,3.566,0.0832,0.1504,0.0532,MEDIUM
VM_003,1378767000,3.3333,3.3076,3.4233,3.4807,3.4057,3.4295,3.3548,3.4399,3.5847,0.0716,0.1529,0.0524,MEDIUM
VM_003,1378767300,3.5333,3.3764,3.3937,3.4241,3.3463,3.359,3.2234,3.3829,3.4922,0.0652,0.1455,0.0505,MEDIUM
VM_003,1378767600,3.5333,3.3735,3.4234,3.4865,3.4011,3.4951,3.4451,3.4757,3.6808,0.0873,0.1461,0.0551,MEDIUM
VM_003,1378767900,3.2667,3.3018,3.3673,3.3954,3.422,3.448,3.29,3.4216,3.5667,0.0817,0.1515,0.0522,MEDIUM
VM_003,1378768200,3.5667,3.3502,3.3318,3.3644,3.3896,3.5248,3.3406,3.4508,3.6392,0.1041,0.1445,0.0549,MEDIUM
VM_003,1378768500,3.3667,3.2258,3.304,3.3719,3.3895,3.4371,3.3014,3.4033,3.5666,0.0945,0.1451,0.0589,MEDIUM
VM_003,1378768800,3.3333,3.2527,3.3168,3.3724,3.5286,3.5069,3.2421,3.4472,3.5684,0.1188,0.1451,0.0572,MEDIUM
VM_003,1378769100,3.6333,3.3645,3.3928,3.4184,3.455,3.4426,3.2579,3.438,3.548,0.0749,0.1431,0.0527,MEDIUM
VM_003,1378769400,3.3667,3.3222,3.4172,3.4873,3.5294,3.4805,3.3097,3.4757,3.5719,0.0822,0.1407,0.0491,MEDIUM
VM_003,1378769700,3.4333,3.3257,3.3742,3.3907,3.4477,3.463,3.2883,3.4334,3.579,0.0797,0.1404,0.0524,MEDIUM
VM_003,1378770000,3.7333,3.4597,3.5405,3.6052,3.4564,3.4561,3.405,3.5132,3.6273,0.0727,0.1454,0.0449,MEDIUM
VM_003,1378770300,3.4333,3.3879,3.4474,3.4844,3.444,3.4779,3.4045,3.4781,3.6343,0.0697,0.1418,0.0473,MEDIUM
VM_003,1378770600,3.3,3.4447,3.4965,3.5274,3.5165,3.5262,3.3311,3.5214,3.6372,0.0758,0.1377,0.0539,MEDIUM
VM_003,1378770900,3.6333,3.4512,3.4596,3.485,3.4904,3.5219,3.3437,3.5012,3.6144,0.0683,0.1421,0.0502,MEDIUM
VM_003,1378771200,3.3667,3.392,3.4146,3.419,3.4503,3.4828,3.4046,3.4597,3.5608,0.0488,0.1421,0.0382,MEDIUM
VM_003,1378771500,3.4,3.3738,3.429,3.4231,3.5274,3.4809,3.2987,3.4625,3.5325,0.0669,0.1412,0.0458,MEDIUM
VM_003,1378771800,3.6667,3.4591,3.4428,3.4091,3.5398,3.491,3.2682,3.46,3.5398,0.0684,0.1333,0.0492,MEDIUM
VM_003,1378772100,3.3667,3.4,3.3956,3.3882,3.4811,3.4927,3.3914,3.4518,3.5344,0.0563,0.1349,0.0353,MEDIUM
VM_003,1378772400,3.3667,3.4367,3.4796,3.4516,3.5478,3.524,3.3545,3.5022,3.6029,0.0658,0.1357,0.0468,MEDIUM
VM_003,1378772700,3.7,3.5055,3.4802,3.4343,3.4658,3.4855,3.3715,3.4705,3.552,0.047,0.1381,0.0391,MEDIUM
VM_003,1378773000,3.4,3.4456,3.5455,3.5463,3.5064,3.565,3.5814,3.5515,3.7133,0.0687,0.1384,0.0494,MEDIUM
VM_003,1378773300,3.5,3.4727,3.514,3.4835,3.4982,3.5202,3.4009,3.5059,3.5779,0.0475,0.1372,0.0385,MEDIUM
VM_003,1378773600,3.7,3.5153,3.4969,3.4712,3.4616,3.473,3.3332,3.4724,3.5195,0.0461,0.1441,0.0405,MEDIUM
VM_003,1378773900,3.4667,3.4302,3.4318,3.4002,3.4835,3.5067,3.3941,3.4655,3.568,0.0572,0.1412,0.0392,MEDIUM
VM_003,1378774200,3.4333,3.4455,3.4385,3.3971,3.5164,3.518,3.3404,3.4754,3.5624,0.0678,0.1382,0.044,MEDIUM
VM_003,1378774500,3.7,3.5117,3.4776,3.431,3.4631,3.4861,3.3748,3.4694,3.5443,0.0474,0.1451,0.0387,MEDIUM
VM_003,1378774800,3.4667,3.4259,3.4261,3.4009,3.5123,3.5281,3.4312,3.4757,3.5793,0.0644,0.1448,0.0429,MEDIUM
VM_003,1378775100,3.4667,3.4468,3.4677,3.421,3.5531,3.5504,3.3792,3.5,3.5921,0.0677,0.1373,0.0428,MEDIUM
VM_003,1378775400,3.6,3.5001,3.4902,3.453,3.4957,3.4963,3.3674,3.4839,3.5437,0.0427,0.1383,0.0386,MEDIUM
VM_003,1378775700,3.5333,3.4596,3.5624,3.5883,3.5346,3.5183,3.5454,3.5473,3.6528,0.0463,0.1358,0.0403,MEDIUM
VM_003,1378776000,3.4667,3.4241,3.4915,3.4699,3.5026,3.5331,3.446,3.5051,3.6037,0.0546,0.1314,0.0381,MEDIUM
VM_003,1378776300,3.6,3.4814,3.4435,3.3766,3.4275,3.4923,3.3618,3.451,3.5611,0.0572,0.1301,0.0403,MEDIUM
VM_003,1378776600,3.3333,3.441,3.4491,3.4102,3.422,3.4785,3.4004,3.4499,3.5713,0.0552,0.1318,0.0384,MEDIUM
VM_003,1378776900,3.4,3.3796,3.3768,3.3361,3.4374,3.4598,3.2852,3.4139,3.5209,0.0689,0.1328,0.0449,MEDIUM
VM_003,1378777200,3.6333,3.4538,3.4276,3.3705,3.4513,3.4493,3.2939,3.431,3.5114,0.0545,0.1266,0.042,MEDIUM
VM_003,1378777500,3.3667,3.3616,3.4214,3.4137,3.4627,3.4365,3.3598,3.4314,3.5089,0.0434,0.1288,0.0342,MEDIUM
VM_003,1378777800,4.0333,3.8,3.5696,3.3222,3.2407,3.3785,3.0609,3.3592,3.8,0.1743,0.1631,0.1083,MEDIUM
VM_003,1378778100,3.5,3.3249,3.379,3.4288,3.3297,3.3116,3.3927,3.3755,3.4701,0.0495,0.1615,0.0395,MEDIUM
VM_003,1378778400,3.4667,3.283,3.3609,3.3843,3.2221,3.3576,3.354,3.3451,3.5501,0.0841,0.1586,0.0591,MEDIUM
VM_003,1378778700,3.3667,3.2455,3.3375,3.3325,3.3813,3.3984,3.2974,3.3787,3.5104,0.0698,0.1599,0.0518,MEDIUM
VM_003,1378779000,3.6667,3.3812,3.4597,3.432,3.2614,3.408,3.3998,3.4007,3.6041,0.0938,0.1599,0.061,MEDIUM
VM_003,1378779300,3.4333,3.3263,3.3915,3.3355,3.3224,3.404,3.3493,3.3771,3.5181,0.0662,0.1577,0.0446,MEDIUM
VM_003,1378779600,3.4,3.3991,3.3912,3.3052,3.3678,3.4803,3.3334,3.4173,3.5846,0.0894,0.1563,0.0531,MEDIUM
